SITE_ID	LATITUDE	LONGITUDE
1	41.6709919	-87.7324569
14	41.834243	-87.6238
22	41.68716544	-87.53931548
32	41.75583241	-87.54534967
50	41.70756959	-87.56857386
52	41.96548483	-87.74992806
57	41.91286212	-87.72272345
64	41.79078688	-87.60164649
76	41.75139998	-87.71348815
1003	41.98433233	-87.7920017
1018	41.773889	-87.815278
1601	41.66812034	-87.99056969
2001	41.66210943	-87.69646652
3301	41.78276601	-87.80537679
4002	41.85524313	-87.7524697
4101	42.053333	-88.108056
6004	41.87211684	-87.82908025
6005	41.86442642	-87.74890238
6006	41.8728972	-87.82587249
8003	41.631389	-87.568056
